source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km,price_per_m2,floor_ratio,house_age,has_metro_near,district_cluster,is_synthetic,augmentation_copy
all,16990000.0,57.28433773248685,3.0,1.0,9.0,"москва, ул. молостовых, 4к4 (12 км до центра)",55.76411945679945,37.83103475345744,Новогиреево,21.483809482354083,6.981571735969575,косметический ремонт,кирпичные,2002.0,2.684292808883678,не угловая,unknown,4к4,детская площадка,unknown,нет,https://msk.etagi.com/realty/12550810/,raw,1.7327597989117083,geo_recomputed,13.55512925512577,0.6671113886722874,0.20511047997175733,0.11430730696025324,0.33332119955172357,0.09144264814633435,298070.1754385965,0.1111111111111111,23.9512466219571,0.0,4,1,1
all-kuzminki,23700000.0,59.28899350540422,3.0,2.0,5.0,"москва, ул. зеленодольская, 24",55.71156277834205,37.775828302751904,Окская,11.246060937221218,10.020114760779759,косметический ремонт,панельные,2002.0,2.6783920854768,не угловая,unknown,24,парковка,наземный паркинг,нет,https://msk.etagi.com/realty/12455233/,raw,0.9356321008284368,geo_recomputed,10.70219961295729,3.827629088029055,0.2298921384095132,0.26329268099434233,0.25042743438746873,0.1569790022450692,402376.9100169779,0.4,24.296614612774583,1.0165259321707671,4,1,1
all-novokosino,21000000.0,88.46922297479104,2.0,3.0,17.0,"бьюти салон & барбершоп, юбилейный проспект, 9а микрорайон, южный реутов, реутов, городской округ реутов, московская область, центральный федеральный округ, 143969, россия",55.75106494153757,37.87364740605531,Новокосино,12.39167775610984,12.004147553186632,косметический ремонт,монолитные,2012.0,2.6438247463137325,не угловая,"пассажирский, грузовой",41,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12293638/,geo,0.979737072189364,geo_recomputed,16.155240603660214,1.9516655412799016,0.898974118716633,0.7899566169847906,1.104510965376615,0.8360475210548423,237020.3160270881,0.1764705882352941,14.099448886424666,0.997210344546779,4,1,1
all,16200000.0,44.13626778307043,1.0,11.0,14.0,"москва, ул. перовская, 66к6 (19 км до центра)",55.74501818489377,37.80244086585254,Кусково,8.4119425955545,9.360293862368502,евроремонт,панельные,2013.0,2.6391963390640334,не угловая,"пассажирский, грузовой",66к6,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12188864/,raw,0.7279221689394619,geo_recomputed,11.800527736089531,2.4313110657265984,0.09606611429486944,0.010241403228439694,0.5057669627512528,0.33897652235244785,367346.9387755102,0.7857142857142857,12.662980509520548,0.9800507353753615,4,1,1
all,4150000.0,12.847781180896021,0.0,2.0,4.0,"москва, ул. сиреневый бульвар, 15",55.80286099008286,37.78399478026438,Щелковская,13.097059719938917,3.0071175341590775,unknown,монолитные,2002.0,3.696552066422942,не угловая,unknown,15,двор,наземный паркинг,нет,https://msk.etagi.com/realty/11893679/,raw,1.1359275535072972,geo_recomputed,11.695369857968716,3.398300126050463,0.32161758842974997,0.1387419470676317,0.13147078142095386,0.3702352869711921,326771.6535433071,0.5,24.11861978783941,0.9596979975434545,4,1,1
3k,19900000.0,58.87145541427967,3.0,4.0,5.0,"москва, ул. чусовская, 4к2 (21 км до центра)",55.812912296272955,37.813383425934546,Щелковская,12.565290314500272,8.997129503487459,косметический ремонт,unknown,1966.0,2.682826217441204,не угловая,unknown,4к2,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12512001/,raw,0.9434419428198793,geo_recomputed,14.213236761815349,1.4449418582818976,0.2702555118966959,0.10928186357062881,0.15650979369210913,0.2758487766595821,336717.4280879865,0.8,59.86527257599571,1.022010691942091,4,1,1
all-perovo,25000000.0,73.15247951159381,3.0,10.0,16.0,"москва, ул. новогиреевская, 5ак1 (10 км до центра)",55.76089527024072,37.793129913751436,Перово,16.380352543547392,7.435456018281691,черновая отделка,монолитные,2002.0,2.6830861833708375,не угловая,unknown,5ак1,парковка,подземный паркинг,нет,https://msk.etagi.com/realty/12262699/,raw,1.3271189113381336,geo_recomputed,11.297926527903558,2.936325072015902,0.3761614351705162,0.3456142145348512,0.28808953460031805,0.235856096750188,341064.12005457026,0.625,24.124559875355377,0.0,4,1,1
studio,5990000.0,16.996112327933883,0.0,1.0,9.0,"москва, ул. фёдора полетаева, 19к1",55.709517183650384,37.78797123129244,Рязанский проспект,11.04751582857282,16.68365789703171,косметический ремонт,панельные,1973.0,2.698005344110708,не угловая,пассажирский,19к1,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12485162/,raw,0.8972834284080415,geo_recomputed,11.751111827618226,2.849214128356133,0.2989619557856554,0.11844541444911239,0.2967552291231368,0.29791578648955747,358682.63473053894,0.1111111111111111,52.8756608749441,0.9860169700992758,4,1,1
2k,11700000.0,44.277799293178035,2.0,7.0,9.0,"москва, ул. ферганский проезд, 10к3",55.697037901735705,37.8190374761163,Юго-Восточная,18.189184158603794,6.032816123556237,косметический ремонт,железобетонные,1968.0,2.679269873167658,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/11771117/,raw,1.495095000034809,geo_recomputed,15.220639723347299,0.6368933806948321,0.1500448667336755,0.27069135296270863,0.26386036593182915,0.556562838026105,266514.80637813214,0.7777777777777778,57.99044459938386,0.0,4,1,1
3k,17500000.0,60.02335845309131,3.0,5.0,9.0,"москва, ул. реутовская, 8к3 (14 км до центра)",55.7383514940244,37.834010023146426,Новогиреево,13.235004875385513,6.2324082850842455,косметический ремонт,панельные,1971.0,2.638005905629125,не угловая,пассажирский,8к3,двор,наземный паркинг,нет,https://msk.etagi.com/realty/11765449/,raw,1.2060405793521993,geo_recomputed,13.721833633344707,0.39745010731790964,0.32285012679199904,0.20050442227180187,0.26468600155775673,0.0980557561643992,291666.6666666667,0.5555555555555556,54.90314539412848,1.0006332081665525,4,1,1
all,3900000.0,53.285863947070446,2.0,1.0,9.0,"москва, ул. алтайская, 26",55.818977623520894,37.82171549448438,Щелковская,22.19279871189446,11.986973865993361,косметический ремонт,кирпичные,1968.0,2.6797346625291003,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/5873387/,raw,1.7701601700980878,geo_recomputed,14.824763440950202,0.9384884318383349,0.13810224934445792,0.08999857031353416,0.266167970951204,0.11055350625346272,72625.69832402235,0.1111111111111111,58.00056895936319,0.0,4,1,1
all-izmailovo,4200000.0,95.19757389306098,,4.0,5.0,"москва, ул. верхняя первомайская, 14",55.798553960501,37.790795638001136,Первомайская,8.5831881694795,,косметический ремонт,кирпич красный,2002.0,3.0002373840367893,не угловая,unknown,14,двор,наземный паркинг,нет,https://msk.etagi.com/realty/10715172/,raw,0.744266194305492,geo_recomputed,11.95654458342483,2.995629439889095,0.3426732797628189,0.19024839078003447,0.10359601659119011,0.22635750154145165,44071.3536201469,0.8,23.897787300144014,1.0088859100609904,4,1,1
3k,17999958.0,55.500561769942415,3.0,7.0,9.0,"москва, ул. сталеваров, 10к1 (23 км до центра)",55.76388892086483,37.83888470935045,Реутов,19.976080434485002,6.944491254400823,косметический ремонт,панельные,1972.0,2.6792264361630247,не угловая,пассажирский,10к1,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12631257/,raw,1.6400067225287123,geo_recomputed,13.611622962774067,0.2416892651886455,0.07717502838643941,0.2424130846602288,0.4398324022054223,0.3059724842848791,321427.8214285714,0.7777777777777778,53.95972281732884,0.0,4,1,1
all-golyanovo,15000000.0,59.026058521574086,3.0,9.0,9.0,"москва, ул. уральская, 15",55.8200699536606,37.79524255478909,Щелковская,14.081009049390593,5.94624539109268,требует ремонта / частичный ремонт,кирпичные,1967.0,2.6359957414839457,не угловая,"пассажирский, грузовой",15,двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12583896/,raw,1.1203100338460301,geo_recomputed,13.798199969152485,2.1987195481438118,0.07094721063229162,0.29330647105185886,0.62224047450245,0.17305949221331282,254237.28813559323,1.0,58.78817916192061,0.9713534616607754,4,1,1
all-ivanovskoe,17500000.0,44.988500189020286,2.0,10.0,12.0,"москва, ул. саянская, 3к1",55.76793162922123,37.825841823022564,Новогиреево,21.264708127167964,5.985767876315899,косметический ремонт,панельные,1973.0,2.6387212040531156,не угловая,"пассажирский, грузовой",3к1,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12545982/,raw,1.8787664346092936,geo_recomputed,12.987010956121862,1.1040894519187183,0.147825840412675,0.29747204886802997,0.8631450671514277,0.08284289418923452,389755.0111358575,0.8333333333333334,53.08840718266558,0.0,4,1,1
all,56950000.0,129.90619564768676,4.0,4.0,21.0,"москва, ул. новогиреевская, 5ак2 (10 км до центра)",55.7615635756825,37.79689596718083,Перово,16.99637198683528,20.084828359983483,без отделки,монолитные,2002.0,2.6815487846098476,не угловая,"грузовой, пассажирский",5ак2,парковка,подземный паркинг,нет,https://msk.etagi.com/realty/12097502/,raw,1.4554317688218759,geo_recomputed,11.195932118170868,2.9515334074100887,0.31264027551610823,0.4258438417793217,0.12720696093362668,0.24286747383074467,438076.92307692306,0.1904761904761904,24.03158293775154,0.0,4,1,1
all,7000000.0,58.783755788105914,3.0,9.0,9.0,"москва, ул. старый гай, 10",55.74027888016684,37.826467401381294,Новогиреево,9.037377320224463,9.009247249527192,косметический ремонт,панельные,1971.0,2.6795401112047927,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/795010/,raw,0.7413128199551985,geo_recomputed,13.104918672808376,0.8921173333408343,0.3321233896010754,0.09927468551260374,0.19516994345868097,0.06322976855743662,119250.4258943782,1.0,54.70873278228622,0.9847559466430172,4,1,1
2k,13250000.0,45.044461194219764,2.0,9.0,9.0,"москва, ул. вешняковская, 8к1",55.73620983120428,37.826173599908664,Новогиреево,13.071389344318682,6.984402137931282,косметический ремонт,панельные,1972.0,2.6392791450194673,не угловая,"пассажирский, грузовой",8к1,двор,unknown,нет,https://msk.etagi.com/realty/12608407/,raw,1.0957250022131486,geo_recomputed,12.93612108801218,0.9129725088255143,0.3130366129256622,0.21886914588229903,0.34061892678977806,0.15661352525424282,295100.22271714924,1.0,54.178904000595566,1.0131922418680954,4,1,1
all,17500000.0,65.0890057260315,3.0,1.0,12.0,"москва, ул. полимерная, 3",55.74636533401835,37.79377054961792,Кусково,7.7830108623098955,9.087466383670224,косметический ремонт,блочные,1972.0,2.6779509112438338,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10912294/,raw,0.7301679742998727,geo_recomputed,10.602161325264737,2.958574279909632,0.13855302759746072,0.19500044585070697,0.2628652632432607,0.22676658259769333,269230.76923076925,0.0833333333333333,53.96823638629187,0.9675179235392799,4,1,1
all,5400000.0,14.083655588796336,0.0,1.0,14.0,"москва, ул. ташкентская, 23к2 (20 км до центра)",55.7001607068773,37.814255429000426,Юго-Восточная,13.350486129167669,2.9837466164011026,современный ремонт,блочные,1970.0,2.6786569822714372,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10707009/,raw,1.0957006555750652,geo_recomputed,13.41112053419905,1.204009809795196,0.08173424647186403,0.26244589641987165,0.24095873457371794,0.4698618648763358,372413.7931034483,0.0714285714285714,56.029146393642584,1.0234017500839108,4,1,1
all,19200000.0,56.9122409254594,2.0,6.0,15.0,"москва, ул. 15-я парковая, 42к5",55.8088206131726,37.823499865715014,Щелковская,19.94645885812035,11.126584563413578,евроремонт,кирпичные,2021.0,3.0031017753279587,не угловая,unknown,42к5,детская площадка,unknown,нет,https://msk.etagi.com/realty/11831919/,raw,1.6144516617532296,geo_recomputed,14.787542855685523,0.9056293014788444,0.1815551986795586,0.15123590192400088,0.2557824283989343,0.36143264756562127,336842.1052631579,0.4,5.137758935176127,0.0,4,1,1
all-izmailovo,3950000.0,96.74201542363615,4.0,1.0,8.0,"москва, ул. 9-я парковая, 41а (19 км до центра)",55.801432416706795,37.79593603495257,Первомайская,10.132322704051349,,косметический ремонт,кирпичные,1956.0,2.677490799726405,не угловая,пассажирский,41а,двор,гостевой паркинг,нет,https://msk.etagi.com/realty/10932793/,raw,0.7940489770624625,geo_recomputed,12.634221990699306,2.6867768017892266,0.22265945587543476,0.0,0.2862544774686591,0.15868627723947826,40890.26915113872,0.125,70.05914277872094,0.963936677234905,4,1,1
all-ivanovskoe,12800000.0,38.747042240298555,2.0,1.0,12.0,"москва, ул. федеративный проспект, 46к2",55.75260173369937,37.82445382310638,Новогиреево,6.74874768107113,6.6426914866846545,косметический ремонт,панельные,2002.0,2.68158687980535,не угловая,unknown,46к2,детская площадка,unknown,нет,https://msk.etagi.com/realty/12456919/,raw,0.6149730954830563,geo_recomputed,13.681901563440766,1.1400152408054716,0.2516226274223453,0.3105021914709236,0.20963246025791787,0.18938122093927326,335078.5340314136,0.0833333333333333,24.209946629874096,0.9932795642943516,4,1,1
all-ivanovskoe,12950000.0,44.905774521791024,2.0,2.0,9.0,"москва, ул. сталеваров, 10к1 (23 км до центра)",55.763886263441286,37.83863538179944,Реутов,20.887653639218527,6.99057656743817,косметический ремонт,панельные,1972.0,2.6801035912696634,не угловая,пассажирский,10к1,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12252287/,raw,1.6721773231285562,geo_recomputed,14.335852221878449,0.24541959339499914,0.08097086593962971,0.2308144679522338,0.44176224253312885,0.3016373446996838,287777.77777777775,0.2222222222222222,53.94715393105737,0.0,4,1,1
all,7000000.0,36.79087262334806,1.0,5.0,20.0,"москва, ул. лермонтовский проспект, 14к1",55.69794793476584,37.85673203210194,Ухтомская,6.197513006988621,9.985890833910208,косметический ремонт,железо-бетон,2002.0,2.680538946517153,не угловая,unknown,14к1,детская площадка,unknown,нет,https://msk.etagi.com/realty/12245501/,raw,0.5387099661623947,geo_recomputed,16.454646897793186,1.5828098060958622,0.14222394938816416,0.08787329585345592,0.525412984618712,0.25783195792570823,191256.8306010929,0.25,24.186383775141806,0.9622290237804033,4,1,1
2k,16400000.0,44.00428999007455,2.0,9.0,9.0,"москва, ул. юных ленинцев, 91",55.69915263949135,37.77541765914919,Кузьминки,13.378369276405394,5.154247388967655,косметический ремонт,блоки железобетонные,1961.0,2.6783877300852215,не угловая,unknown,91,детская площадка,unknown,нет,https://msk.etagi.com/realty/12220659/,raw,1.0285949993604095,geo_recomputed,12.286856244003534,3.458679907517899,0.16859912471233146,0.21683469949867987,0.27934269062345407,0.05921825412584345,375286.04118993133,1.0,65.02214859189989,0.967871492841252,4,1,1
all,20000000.0,43.83186618445652,2.0,7.0,26.0,"москва, ул. шоссе энтузиастов, 86ак2",55.764010883080836,37.79809896115376,Новогиреево,19.521624390245364,4.147386608478218,евроремонт,монолитные,2002.0,2.6392255681030092,не угловая,unknown,86ак2,двор,unknown,нет,https://msk.etagi.com/realty/12593561/,raw,1.6151465851934117,geo_recomputed,11.466484769723891,2.6156062661594746,0.601492030105553,0.5326742726324659,0.19105251758349592,0.36562047841789924,455580.86560364463,0.2692307692307692,24.091465531922694,0.0,4,1,1
all-vyhino-zhulebino,18000000.0,39.197936823161825,0.0,5.0,24.0,"москва, ул. привольная, 56 (16 км до центра)",55.68347923380715,37.841319119649455,Жулебино,10.819965797110301,20.018048330916926,unknown,монолитно-кирпичный,1992.0,2.6399874071204996,не угловая,"пассажирский, грузовой",56,парковка,наземный паркинг,нет,https://msk.etagi.com/realty/12150781/,raw,0.9566583510104629,geo_recomputed,16.030276323282376,0.5762234284598743,0.4735339880607408,0.4193931187031413,0.4249214404873872,0.5915922992844033,463917.5257731959,0.2083333333333333,34.0727260168602,1.0639999219129659,4,1,1
1k,10000000.0,34.172361719045576,1.0,7.0,9.0,"москва, ул. реутовская, 2",55.743170220054274,37.834445354249056,Новогиреево,11.70553797290215,8.9186776584085,косметический ремонт,панельные,2002.0,2.6795100616787466,не угловая,unknown,2,детская площадка,unknown,нет,https://msk.etagi.com/realty/12502657/,raw,0.9585494540500821,geo_recomputed,13.564632404977086,0.5089450775089119,0.1140655999880593,0.2439245663122661,0.4331439346418307,0.4043151860986528,294117.64705882355,0.7777777777777778,23.908599906977543,1.0162757977154453,4,1,2
1k,12800000.0,35.73771782228831,1.0,12.0,17.0,"москва, ул. снайперская, 2к1",55.725835936845804,37.81622083074989,Выхино,11.907857998342575,9.008460269767331,косметический ремонт,панельные,1999.0,2.678468251288978,не угловая,unknown,2к1,детская площадка,unknown,нет,https://msk.etagi.com/realty/12609413/,raw,0.9695036755247869,geo_recomputed,12.317219740407486,1.4792685824586906,0.2835813834626021,0.30168583970818047,0.4431394343200311,0.21967461125944177,353591.16022099444,0.7058823529411765,26.89314367267936,1.014811157011206,4,1,2
all,26780000.0,56.21293218065907,2.0,11.0,16.0,"москва, ул. щёлковское шоссе, 74",55.809807760014195,37.809667241594575,Щелковская,9.610516852724192,11.99458374779383,косметический ремонт,панельные,2002.0,2.6989108555798866,не угловая,"пассажирский, грузовой",74,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12302381/,raw,0.7812189867589019,geo_recomputed,14.40931247177515,1.7172581992310527,0.2979992265144593,0.25736807679227686,0.21026804833720075,0.08861567474843698,478214.28571428574,0.6875,23.96703178669497,1.034718439224807,4,1,2
all-vostochnoe-izmailovo,5350000.0,78.25572946334582,3.0,2.0,5.0,"москва, ул. средняя первомайская, 48к2 (21 км до центра)",55.79418182555387,37.81717799578594,Первомайская,13.701220963339864,,косметический ремонт,кирпичные,1956.0,2.676762028370393,не угловая,unknown,48к2,двор,наземный паркинг,нет,https://msk.etagi.com/realty/9682760/,raw,1.1101188228148877,geo_recomputed,13.740540162925583,1.486567693716257,0.14883719795039344,0.12209927563927062,0.31434784805141913,0.2740193616312487,68677.7920410783,0.4,69.90053946761282,1.0306506336080647,4,1,2
all,15800000.0,44.11121345094382,1.0,7.0,13.0,"москва, ул. перовская, 66к7 (19 км до центра)",55.74342514115489,37.80390161815711,Кусково,8.30928580817454,10.114023487743937,косметический ремонт,панельные,2002.0,2.641066515999497,не угловая,"пассажирский, грузовой",66к7,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12442353/,raw,0.7146264984102048,geo_recomputed,11.71744636552645,2.362412558791967,0.06723660625438958,0.05079077381094789,0.6617902803016422,0.23069143545748091,359090.9090909091,0.5384615384615384,24.274796386322283,0.9966168383936114,4,1,2
all,13450000.0,37.80832838014334,2.0,2.0,9.0,"москва, ул. измайловский проспект, 115а (20 км до центра)",55.78870617914156,37.81245603797015,Первомайская,11.714115381331473,6.025855241286645,требует ремонта / частичный ремонт,блочные,1972.0,2.4982244080614535,угловая,"пассажирский, грузовой",115а,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12628204/,raw,1.0126016010006462,geo_recomputed,13.50879107790939,1.6798188834865804,0.04901622636674216,0.40540404007584313,0.28322525754156236,0.43781521877759816,357712.76595744677,0.2222222222222222,54.057022682396294,1.029709311424699,4,1,2
all,16990000.0,57.36191166067117,3.0,2.0,9.0,"москва, ул. молостовых, 17к2",55.75179266327832,37.8345721876746,Новогиреево,14.695118367103305,5.960539956655045,косметический ремонт,кирпичные,1972.0,2.6788205506645144,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/11891232/,raw,1.332372953709433,geo_recomputed,13.480162456010824,0.4422339061710857,0.3539527791717069,0.18420091169208433,0.7316377393177751,0.27971787282370614,295993.031358885,0.2222222222222222,54.00263067415013,1.0052215672012614,4,1,2
all-izmailovo,5000000.0,15.408857242190718,0.0,3.0,4.0,"москва, ул. сиреневый бульвар, 15",55.80165226849059,37.78540497691723,Щелковская,12.676861586295223,5.0366331522660035,евроремонт,монолитные,2002.0,2.680763441588618,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/12040376/,raw,1.1074025311506381,geo_recomputed,11.357168710675026,3.4100681902304792,0.3194999622530576,0.1318785327428753,0.13014074039938836,0.3679875626733555,331125.8278145695,0.75,23.831941354257847,1.0575078037450099,4,1,2
all,25500000.0,76.72260889904787,3.0,9.0,9.0,"москва, ул. вешняковская, 2",55.7366034142286,37.819925550579086,Новогиреево,8.788474740228995,8.300526956178636,косметический ремонт,панельные,2002.0,2.679435038839097,не угловая,unknown,2,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12557594/,raw,0.7270762398067421,geo_recomputed,13.320758727147433,1.2398205710606223,0.11271482440143855,0.19791401473306394,0.6006675050006973,0.360708445742576,332464.14602346806,1.0,24.1331513245491,1.032931834331409,4,1,2
all,8900000.0,18.402224812471204,0.0,8.0,10.0,"москва, ул. рязанский проспект, 86/1с1",55.70945992350351,37.82961948851453,Юго-Восточная,8.358249105746234,5.986398309244543,unknown,панельные,1978.0,2.4984487177062253,не угловая,unknown,86/1с1,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12426244/,raw,0.6998750109569568,geo_recomputed,13.770730523853368,0.2673026482353968,0.43216015935278645,0.4225827547502512,0.5175164095832008,0.10137602576627175,473404.25531914894,0.8,47.88980085865248,0.9812317204431492,4,1,2
studio,4750000.0,12.984214567251385,0.0,3.0,4.0,"москва, ул. сиреневый бульвар, 15",55.80271284666693,37.78583367193557,Щелковская,12.90493082187562,1.9511953373487874,unknown,монолитные,2002.0,3.6956202850953317,не угловая,unknown,15,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12576606/,raw,1.124246353027479,geo_recomputed,11.949403367095991,3.3880045648148007,0.3175786893607212,0.13079888248116264,0.13774626411232663,0.3580658176226324,374015.74803149607,0.75,23.88238780754606,1.0699213206835079,4,1,2
4k,76000000.0,278.4337490601767,6.0,6.0,6.0,"москва, ул. нижняя первомайская, 64 (13 км до центра)",55.79223986327916,37.817534076461435,Первомайская,14.949825825910226,8.973704650733115,unknown,кирпичные,2002.0,3.2008088817595506,не угловая,пассажирский и грузовой,64,двор,парковка во дворе,нет,https://msk.etagi.com/realty/12591559/,raw,1.228038614019179,geo_recomputed,13.432552277833894,1.5445381405670118,0.31166273206938716,0.40196371416853705,0.0892835188925885,0.3804230327507199,272401.4336917563,1.0,24.139209925347696,0.9369388049203051,4,1,2
all-izmailovo,31700000.0,53.79798651510567,1.0,17.0,36.0,"москва, ул. первомайская, 42к3",55.79279356187471,37.78766970350271,Измайловская,9.209084432469327,7.989929179391322,unknown,монолитные,2002.0,2.6401739016766235,не угловая,"пассажирский, грузовой",42к3,двор,"подземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12595379/,raw,0.7023085154726039,geo_recomputed,11.79483577758962,3.3419237872792658,0.3713742481506451,0.11950280152765269,0.060204452968352536,0.05037341452139099,590316.573556797,0.4722222222222222,24.069787915828623,1.0191206422200714,4,1,2
all-vostochnoe-izmailovo,15699000.0,56.86686225282927,3.0,1.0,3.0,"москва, ул. первомайская, 94а (12 км до центра)",55.792477138362784,37.80910907323984,Первомайская,6.650659125452865,8.745547356188387,косметический ремонт,кирпичные,1968.0,2.9988609802988906,не угловая,unknown,94а,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12313909/,raw,0.6427715684215821,geo_recomputed,13.207822168117149,2.082784342229665,0.2692087168249312,0.25212160112812654,0.3359018487153535,0.08287694961266384,275421.05263157893,0.3333333333333333,57.548928111988104,0.9791125801166414,4,1,2
all-veshnyaki,12500000.0,32.944719144742216,1.0,7.0,9.0,"москва, ул. вешняковская, 6к3 (12 км до центра)",55.73563448279869,37.82400885643182,Новогиреево,11.017373121018815,6.728946609335646,косметический ремонт,панельные,1972.0,2.6377161834878438,не угловая,"пассажирский, грузовой",6к3,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/11965270/,raw,0.9600361680653146,geo_recomputed,13.419842909374054,1.026359507091239,0.30277867041636175,0.11743223977525562,0.41541165021445947,0.21616009567033995,377643.5045317221,0.7777777777777778,53.97157281980875,1.0564654088101906,4,1,2
3k,28000000.0,75.15959612943657,3.0,5.0,5.0,"москва, ул. 9-я парковая, 15 (11 км до центра)",55.79270436496979,37.798613592308,Первомайская,1.9341876962796247,9.603408207823273,евроремонт,кирпичные,2002.0,3.0000280963800057,не угловая,unknown,15,детская площадка,unknown,нет,https://msk.etagi.com/realty/12299137/,raw,0.18835841772130496,geo_recomputed,12.523240277817326,2.4727101617767624,0.21303948020519722,0.10893517402638511,0.31111461803733703,0.06842554024455669,372836.21837549936,1.0,24.022616160216952,1.0075841819588587,4,1,2
all,39000000.0,128.45422328003457,5.0,6.0,6.0,"москва, ул. нижняя первомайская, 64 (13 км до центра)",55.792231736048265,37.81788333532953,Первомайская,14.867513285748757,50.03819730661664,современный ремонт,кирпичные,2002.0,3.20105775042077,не угловая,пассажирский и грузовой,64,двор,парковка во дворе,нет,https://msk.etagi.com/realty/5872356/,raw,1.1760430508014834,geo_recomputed,13.033303911286374,1.4894485729783873,0.3306905476138125,0.3851519782590401,0.09449189198177735,0.3793318235683378,303030.30303030304,1.0,23.9388114699941,0.9761861360473864,4,1,2
2k,20000000.0,53.17748542232702,2.0,6.0,24.0,"москва, ул. салтыковская, 6/2к1",55.726560621076764,37.860381097223446,Косино,17.683332825262028,12.02403382510637,unknown,монолитные,2022.0,2.6802152145169607,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/11834919/,raw,1.5794413415388402,geo_recomputed,15.818412169338707,1.3233434374517048,0.2145818186163997,0.15327028984796026,0.9380467485524002,0.08878899223928552,377358.4905660377,0.25,4.028894369982916,0.0,4,1,2
all-vyhino-zhulebino,26000000.0,81.21968070278291,3.0,5.0,14.0,"москва, ул. лермонтовский проспект, 12 (25 км до центра)",55.69934964947942,37.85450935066434,Лермонтовский проспект,4.9043028880953115,8.382653841420284,евроремонт,панельные,1994.0,2.643606173423497,не угловая,"пассажирский, грузовой",12,двор,наземный паркинг,есть,https://msk.etagi.com/realty/11962811/,raw,0.36743982448447204,geo_recomputed,15.344174359438844,1.4156027544235186,0.21677795879055992,0.11790426357711238,0.40287930356272417,0.16142258555857636,320197.04433497536,0.3571428571428571,31.67392991121292,0.9785820562400322,4,1,2
all,21250000.0,50.78610036851507,3.0,5.0,9.0,"москва, ул. молдагуловой, 15к2",55.719818130907456,37.83017134309249,Выхино,12.08120945041429,5.941233791835349,евроремонт,панельные,2002.0,2.501551549098042,не угловая,"пассажирский, грузовой",15к2,двор,unknown,нет,https://msk.etagi.com/realty/10871856/,raw,1.0785193541911997,geo_recomputed,14.572348702873901,0.5035736485137987,0.10999074068677714,0.15774382920771365,0.5997293505060529,0.3089828542793098,416666.6666666667,0.5555555555555556,23.489905919306963,0.9908266906428976,4,1,2
1k,16950000.0,44.763694996911504,1.0,22.0,23.0,"москва, ул. зелёный проспект, 97а",55.75006815110252,37.82820555682339,Новогиреево,10.066364020717753,9.96771887072443,евроремонт,кирпичные,1951.0,2.6397638181001106,не угловая,"пассажирский, грузовой",97а,двор,unknown,нет,https://msk.etagi.com/realty/12061949/,raw,0.8147311969965066,geo_recomputed,12.711638943637965,0.9019647323258766,0.17291500626295267,0.3347272463519968,0.3087708294851407,0.17940824758055143,382618.5101580135,0.9565217391304348,74.82423986091355,0.9901405715233148,4,1,2
all,22000000.0,61.07095958866497,2.0,3.0,14.0,"москва, ул. суздальская, 10к3 (24 км до центра)",55.73655751939215,37.85041399158692,Новокосино,14.901080734844708,8.960358234214457,косметический ремонт,панельные,1996.0,2.6416253081430883,не угловая,"пассажирский, грузовой",10к3,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12523359/,raw,1.3145189455477104,geo_recomputed,14.616492507447063,0.5572558894582837,0.2074604063302491,0.15028224862228073,0.09972436218192161,0.19921412661937657,360655.737704918,0.2142857142857142,30.050855365072085,0.9774653239389683,4,1,2
