source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km,price_per_m2,floor_ratio,house_age,has_metro_near,geo_generation_cluster,is_synthetic,generation_method,parent_geo_cluster
all,38500000.0,62.0,2.0,17.0,40.0,"москва, ул. бульвар братьев весниных, 1 (6 км до центра)",55.699015,37.640767,ЗИЛ,5.0,15.27,без отделки,монолитные,2023.0,3.0,не угловая,unknown,1,двор,"гостевой паркинг, подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/11892160/,raw,0.44,geo_recomputed,6.12,11.85,0.26,0.3,0.26,0.1,620967.7419354839,0.425,3.0,1.0,20,0,original,20
all,11500000.0,23.0,0.0,21.0,21.0,"москва, ул. автомобильный проезд, 4к4",55.729787,37.696382,Калитники,7.0,5.0,косметический ремонт,монолитно-каркасные,2023.0,2.68,не угловая,unknown,4к4,детская площадка,unknown,нет,https://msk.etagi.com/realty/12091703/,raw,0.59,geo_recomputed,5.64,9.01,0.7,0.73,0.75,0.28,500000.0,1.0,3.0,1.0,18,0,original,18
all,16500000.0,48.4,1.0,27.0,31.0,"москва, ул. поляны, 5",55.557765,37.555023,Бутово,13.0,13.0,ремонт по дизайн-проекту,монолитные,2002.0,2.5,не угловая,"пассажирский, грузовой",5,двор,наземный паркинг,нет,https://msk.etagi.com/realty/9950265/,raw,1.06,geo_recomputed,21.95,2.81,0.2,0.29,0.72,0.76,340909.09090909094,0.8709677419354839,24.0,1.0,8,0,original,8
all-yuzhnoe-medvedkovo,20048310.0,53.3,2.0,6.0,18.0,"москва, ул. полярная, 3",55.872344,37.63676,Бабушкинская,21.0,10.5,черновая отделка,газобетонные блоки,2025.0,2.68,не угловая,unknown,3,детская площадка,unknown,нет,https://msk.etagi.com/realty/12249868/,raw,1.73,geo_recomputed,13.42,2.8,0.42,0.32,0.24,0.23,376140.9005628518,0.3333333333333333,1.0,0.0,9,0,original,9
all,45000000.0,90.9,2.0,7.0,18.0,"москва, ул. новочерёмушкинская, 63к2",55.664456,37.565982,Новые Черемушки,11.0,16.0,евроремонт,монолитно-кирпичный,2003.0,2.75,не угловая,"пассажирский, грузовой",63к2,двор,"подземный паркинг, парковка во дворе",нет,https://msk.etagi.com/realty/11907527/,raw,0.95,geo_recomputed,10.24,7.14,0.4,0.18,0.17,0.33,495049.50495049503,0.3888888888888889,23.0,1.0,15,0,original,15
all-presnenskii,20600000.0,29.6,0.0,36.0,51.0,"москва, ул. шмитовский проезд, 39к6 (6 км до центра)",55.754709,37.525818,Шелепиха,3.0,29.6,черновая отделка,монолитные,2002.0,2.68,не угловая,unknown,39к6,двор,подземный паркинг,нет,https://msk.etagi.com/realty/12596237/,raw,0.28,geo_recomputed,5.63,9.7,0.42,0.31,0.49,0.14,695945.9459459459,0.7058823529411765,24.0,1.0,10,0,original,10
all,13999999.0,32.0,1.0,14.0,24.0,"6 к1, саларьевская улица, жк «саларьево парк», район коммунарка, москва, центральный федеральный округ, 142784, россия",55.612634,37.414149,Саларьево,15.0,15.0,современный ремонт,панельные,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10947308/,geo,1.28,geo_recomputed,20.01,3.99,0.13,0.19,0.56,1.31,437499.96875,0.5833333333333334,24.0,1.0,22,0,original,22
all,9800000.0,20.3,0.0,2.0,16.0,"2 к3, скандинавский бульвар, скандинавия, район коммунарка, москва, центральный федеральный округ, 108801, россия",55.566517,37.492563,Потапово,19.0,5.0,косметический ремонт,монолитные,2002.0,2.9,не угловая,"грузовой, пассажирский",2к3,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12593589/,geo,1.56,geo_recomputed,22.04,3.45,0.16,0.14,0.35,0.31,482758.62068965513,0.125,24.0,0.0,8,0,original,8
1k,14900000.0,35.7,1.0,3.0,5.0,"москва, ул. ботаническая, 37/2к1",55.842838,37.583939,Владыкино,8.0,6.0,unknown,кирпичные,1962.0,2.5,не угловая,unknown,37/2к1,двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12469177/,raw,0.7,geo_recomputed,10.27,6.89,0.29,0.23,0.32,0.5,417366.94677871146,0.6,64.0,1.0,6,0,original,6
all-nagornyi,27200000.0,56.0,2.0,2.0,25.0,"москва, ул. электролитный проезд, 16к3 (10 км до центра)",55.670295,37.61035,Нагорная,4.0,10.0,unknown,панельные,2015.0,2.5,не угловая,"грузовой, пассажирский и грузовой",16к3,двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12612409/,raw,0.3,geo_recomputed,9.11,9.83,0.2,0.1,0.76,0.09,485714.28571428574,0.08,11.0,1.0,5,0,original,5
1k,11000000.0,40.0,1.0,3.0,17.0,"москва, ул. солнцевский проспект, 17/1 (18 км до центра)",55.647996,37.409298,Солнцево,14.0,8.5,косметический ремонт,кирпичные,1960.0,2.68,не угловая,unknown,17/1,двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/10500651/,raw,1.15,geo_recomputed,17.36,2.06,0.29,0.24,0.01,0.11,275000.0,0.1764705882352941,66.0,1.0,3,0,original,3
all-khoroshevo-mnevniki,16250000.0,37.8,1.0,17.0,17.0,"москва, ул. демьяна бедного, 2к5",55.76918,37.492078,Народное Ополчение,10.0,9.0,косметический ремонт,панели железобетонные,2002.0,2.68,не угловая,unknown,2к5,двор,наземный паркинг,нет,https://msk.etagi.com/realty/11965528/,raw,0.87,geo_recomputed,7.96,7.66,0.19,0.16,0.42,0.55,429894.1798941799,1.0,24.0,1.0,16,0,original,16
studio,12200000.0,29.0,0.0,10.0,25.0,"москва, ул. илимская, 1вк1 (15 км до центра)",55.89082,37.570483,Бескудниково,11.0,5.0,чистовая отделка,железо-бетон,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/12213534/,raw,0.92,geo_recomputed,15.67,2.16,0.2,0.35,0.5,0.38,420689.6551724138,0.4,24.0,1.0,21,0,original,21
all-teplyi-stan,12100000.0,33.0,1.0,9.0,9.0,"москва, ул. островитянова, 26к2 (15 км до центра)",55.633622,37.514275,Коньково,4.0,6.0,косметический ремонт,панельные,1972.0,2.64,не угловая,пассажирский,26к2,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12649217/,raw,0.36,geo_recomputed,14.63,2.54,0.34,0.26,0.31,0.24,366666.6666666667,1.0,54.0,1.0,15,0,original,15
2k,30000000.0,58.0,2.0,4.0,10.0,"москва, ул. ленинградский проспект, 33к4 (5 км до центра)",55.787285,37.559936,Динамо,3.0,9.0,косметический ремонт,кирпич красный,2002.0,2.68,не угловая,unknown,33к4,детская площадка,unknown,нет,https://msk.etagi.com/realty/12591927/,raw,0.29,geo_recomputed,5.23,11.01,0.23,0.54,0.08,0.23,517241.3793103448,0.4,24.0,1.0,23,0,original,23
all,15500000.0,46.5,2.0,5.0,5.0,"москва, ул. волгоградский проспект, 55 (8 км до центра)",55.710317,37.73315,Текстильщики,2.0,6.0,косметический ремонт,панельные,2002.0,2.64,не угловая,unknown,55,двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12523247/,raw,0.14,geo_recomputed,8.71,6.23,0.25,0.11,0.5,0.17,333333.3333333333,1.0,24.0,1.0,18,0,original,18
2k,19990000.0,52.2,2.0,2.0,12.0,"москва, ул. чистова, 15/15 (10 км до центра)",55.69728,37.744909,Волжская,12.0,8.6,евроремонт,блочные,1982.0,2.64,не угловая,"грузовой, пассажирский",15/15,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12060458/,raw,0.96,geo_recomputed,10.14,5.3,0.32,0.17,0.41,0.34,382950.1915708812,0.1666666666666666,44.0,1.0,18,0,original,18
all,17500000.0,37.0,1.0,22.0,47.0,"9 с13, южнопортовая улица, район печатники, москва, центральный федеральный округ, 115193, россия",55.705843,37.694639,Кожуховская,7.0,11.7,без стен,монолитно-кирпичный,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/9962910/,geo,0.58,geo_recomputed,7.15,8.54,0.86,0.76,0.56,0.23,472972.97297297296,0.4680851063829787,24.0,1.0,18,0,original,18
all-khoroshevo-mnevniki,16800000.0,31.6,1.0,1.0,5.0,"москва, ул. бульвар генерала карбышева, 6к4 (9 км до центра)",55.778092,37.473258,Народное Ополчение,9.0,5.0,косметический ремонт,монолит-газоблок,2002.0,2.68,не угловая,unknown,6к4,детская площадка,unknown,нет,https://msk.etagi.com/realty/12315261/,raw,0.78,geo_recomputed,9.36,6.16,0.1,0.06,0.16,0.23,531645.5696202532,0.2,24.0,1.0,16,0,original,16
all,34900000.0,90.0,2.0,18.0,20.0,"москва, ул. нововладыкинский проезд, 1к1 (12 км до центра)",55.849292,37.57987,Окружная,7.0,20.0,ремонт по дизайн-проекту,монолитные,2017.0,2.8,не угловая,unknown,1к1,двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/10536592/,raw,0.55,geo_recomputed,11.02,6.31,0.48,0.11,0.25,0.26,387777.77777777775,0.9,9.0,1.0,6,0,original,6
3k,21500000.0,56.0,3.0,5.0,5.0,"москва, ул. адмирала макарова, 3 (12 км до центра)",55.826872,37.494288,Балтийская,2.0,6.0,евроремонт,кирпичные,2002.0,2.68,не угловая,unknown,3,детская площадка,unknown,нет,https://msk.etagi.com/realty/12089552/,raw,0.16,geo_recomputed,11.25,6.19,0.32,0.66,0.27,0.34,383928.5714285714,1.0,24.0,1.0,21,0,original,21
3k,27000000.0,78.0,3.0,3.0,22.0,"москва, ул. неманский проезд, 13к2",55.807086,37.391457,Строгино,9.0,12.0,без отделки,каркас металлический сэндвич панели,2002.0,2.68,не угловая,unknown,13к2,детская площадка,unknown,нет,https://msk.etagi.com/realty/12483725/,raw,0.77,geo_recomputed,15.29,0.21,0.4,0.29,0.02,0.18,346153.8461538461,0.1363636363636363,24.0,1.0,2,0,original,2
all-ivanovskoe,12800000.0,38.2,2.0,1.0,12.0,"москва, ул. федеративный проспект, 46к2",55.752455,37.824383,Новогиреево,7.0,6.7,косметический ремонт,панельные,2002.0,2.68,не угловая,unknown,46к2,детская площадка,unknown,нет,https://msk.etagi.com/realty/12456919/,raw,0.61,geo_recomputed,13.07,1.11,0.25,0.32,0.2,0.2,335078.5340314136,0.0833333333333333,24.0,1.0,24,0,original,24
all,30000000.0,76.8,3.0,18.0,22.0,"москва, ул. родниковая, 30к2 (19 км до центра)",55.632413,37.415694,Саларьево,14.0,11.0,unknown,монолитные,2002.0,2.68,не угловая,unknown,30к2,двор,"наземный паркинг, подземный паркинг",нет,https://msk.etagi.com/realty/12571159/,raw,1.2,geo_recomputed,18.29,2.69,0.82,0.1,0.91,0.6,390625.0,0.8181818181818182,24.0,1.0,3,0,original,3
all-sokol,30250000.0,54.9,2.0,10.0,10.0,"москва, ул. волоколамское шоссе, 10 (10 км до центра)",55.808877,37.497746,Стрешнево,10.0,8.6,unknown,кирпичные,2002.0,2.68,не угловая,unknown,10,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12286988/,raw,0.86,geo_recomputed,9.7,6.73,0.17,0.24,0.25,0.09,551001.8214936248,1.0,24.0,1.0,16,0,original,16
all,25650000.0,56.9,2.0,4.0,20.0,"москва, ул. михайлова, 31а",55.725133,37.775263,Плющево,7.0,10.0,евроремонт,монолитные,2019.0,2.64,не угловая,"пассажирский, грузовой",31а,двор,"наземный паркинг, парковка во дворе, подземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12451417/,raw,0.61,geo_recomputed,10.44,4.03,0.31,0.34,0.1,0.35,450790.8611599297,0.2,7.0,1.0,12,0,original,12
all,27400000.0,81.6,3.0,19.0,23.0,"москва, ул. молодцова, 29к2 (11 км до центра)",55.878617,37.624992,Бибирево,18.0,12.0,евроремонт,панельные,2008.0,2.8,не угловая,пассажирский и грузовой,29к2,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12561309/,raw,1.49,geo_recomputed,14.07,2.3,0.07,0.26,0.19,0.05,335784.31372549024,0.8260869565217391,18.0,0.0,9,0,original,9
1k,16950000.0,32.2,1.0,4.0,5.0,"москва, ул. большая почтовая, 18/20к11 (7 км до центра)",55.774755,37.691701,Бауманская,10.0,4.5,требует ремонта / частичный ремонт,кирпичные,1930.0,2.64,не угловая,unknown,18/20к11,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12252809/,raw,0.83,geo_recomputed,5.38,9.46,0.21,0.11,0.3,0.35,526397.5155279503,0.8,96.0,1.0,7,0,original,7
1k,14500000.0,29.8,1.0,1.0,5.0,"москва, ул. аэродромная, 12к1",55.847831,37.43393,Сходненская,5.0,5.08,требует ремонта / частичный ремонт,панельные,1961.0,2.64,не угловая,unknown,12к1,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12252180/,raw,0.45,geo_recomputed,15.56,2.53,0.09,0.37,0.22,0.17,486577.18120805366,0.2,65.0,1.0,2,0,original,2
2k,10000000.0,47.0,2.0,7.0,14.0,"москва, ул. плетешковский переулок, 15",55.769884,37.675541,Бауманская,4.0,7.0,косметический ремонт,кирпичные,1973.0,2.64,не угловая,пассажирский,15,двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12441037/,raw,0.36,geo_recomputed,4.23,10.5,0.16,0.15,0.13,0.21,212765.95744680852,0.5,53.0,1.0,1,0,original,1
all,49900000.0,70.0,2.0,37.0,41.0,"москва, ул. шелепихинская набережная, 34к5 (7 км до центра)",55.764587,37.511284,Шелепиха,14.0,17.0,без отделки,монолитные,2002.0,3.0,не угловая,unknown,34к5,двор,"гостевой паркинг, подземный паркинг, наземный паркинг, парковка во дворе",нет,https://msk.etagi.com/realty/11978785/,raw,1.19,geo_recomputed,6.67,8.9,0.14,0.39,0.92,0.59,712857.1428571428,0.902439024390244,24.0,1.0,10,0,original,10
all,16500000.0,54.3,3.0,1.0,5.0,"москва, ул. 1-я владимирская, 17а",55.757561,37.776799,Перово,10.0,5.8,косметический ремонт,кирпичные,1959.0,2.64,не угловая,unknown,17а,двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/11928279/,raw,0.87,geo_recomputed,10.1,4.11,0.17,0.12,0.48,0.52,303867.4033149171,0.2,67.0,1.0,24,0,original,24
2k,32450000.0,65.6,2.0,4.0,35.0,"москва, ул. кронштадтский бульвар, 9/10 (13 км до центра)",55.843378,37.489167,Водный стадион,6.0,8.0,unknown,панельные,2023.0,2.7,не угловая,грузовой,9/10,парковка,подземный паркинг,нет,https://msk.etagi.com/realty/12098838/,raw,0.5,geo_recomputed,12.85,4.64,0.53,0.16,0.2,0.19,494664.63414634153,0.1142857142857142,3.0,1.0,21,0,original,21
all-biryulevo-zapad,4900000.0,64.0,,6.0,16.0,"москва, ул. востряковский проезд, 17к3",55.575256,37.645546,Битца,26.0,10.0,частичный ремонт,блоки железобетонные,2002.0,2.68,не угловая,unknown,17к3,детская площадка,unknown,нет,https://msk.etagi.com/realty/9105516/,raw,2.19,geo_recomputed,19.76,0.22,0.3,0.2,0.88,0.04,76562.5,0.375,24.0,0.0,13,0,original,13
all-ivanovskoe,12950000.0,45.0,2.0,2.0,9.0,"москва, ул. сталеваров, 10к1 (23 км до центра)",55.763478,37.838854,Реутов,21.0,7.0,косметический ремонт,панельные,1972.0,2.68,не угловая,пассажирский,10к1,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12252287/,raw,1.71,geo_recomputed,14.02,0.24,0.08,0.23,0.44,0.31,287777.77777777775,0.2222222222222222,54.0,0.0,24,0,original,24
all,7000000.0,36.6,1.0,5.0,20.0,"москва, ул. лермонтовский проспект, 14к1",55.698244,37.855958,Ухтомская,6.0,10.0,косметический ремонт,железо-бетон,2002.0,2.68,не угловая,unknown,14к1,детская площадка,unknown,нет,https://msk.etagi.com/realty/12245501/,raw,0.52,geo_recomputed,16.2,1.56,0.14,0.09,0.5,0.27,191256.8306010929,0.25,24.0,1.0,12,0,original,12
all,23290000.0,43.7,2.0,8.0,19.0,"scandi women, 19, скандинавский бульвар, скандинавия, район коммунарка, москва, центральный федеральный округ, 108801, россия",55.556874,37.510736,Потапово,16.0,17.2,unknown,монолитный железобетонный каркас,2002.0,3.0,не угловая,"грузовой, пассажирский",19,двор,подземный паркинг,нет,https://msk.etagi.com/realty/12578483/,geo,1.33,geo_recomputed,22.69,3.99,0.37,0.31,0.13,1.03,532951.9450800915,0.4210526315789473,24.0,0.0,8,0,original,8
all-kuzminki,5275000.0,81.0,,5.0,5.0,"москва, ул. 8-я улица текстильщиков, 9б",55.705057,37.744846,Текстильщики,11.0,10.0,косметический ремонт,кирпичные,1957.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10472503/,raw,0.92,geo_recomputed,9.64,5.4,0.19,0.26,0.37,0.24,65123.456790123455,1.0,69.0,1.0,18,0,original,18
2k,26400000.0,63.7,2.0,11.0,15.0,"москва, ул. погонный проезд, 3ак7",55.820132,37.702769,Белокаменная,13.0,10.0,евроремонт,кирпичные,1996.0,2.64,не угловая,"пассажирский, грузовой",3ак7,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12230634/,raw,1.11,geo_recomputed,9.31,6.09,0.53,0.21,0.11,0.13,414442.70015698584,0.7333333333333333,30.0,1.0,7,0,original,7
all-akademicheskaya,42900000.0,66.5,3.0,11.0,24.0,"москва, ул. вавилова, 27",55.696418,37.570393,Академическая,12.0,11.0,евроремонт,монолитные,2008.0,3.0,не угловая,unknown,27,двор,подземный паркинг,нет,https://msk.etagi.com/realty/12136860/,raw,0.97,geo_recomputed,6.82,9.33,0.52,0.32,0.38,0.35,645112.7819548872,0.4583333333333333,18.0,1.0,15,0,original,15
all-taganskii,18000000.0,36.7,1.0,10.0,24.0,"москва, ул. нижегородская, 25 (7 км до центра)",55.737345,37.693624,Калитники,8.0,9.0,косметический ремонт,монолитные,2007.0,2.7,не угловая,"пассажирский, грузовой",25,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12272007/,raw,0.65,geo_recomputed,5.16,9.24,0.21,0.15,0.27,0.17,490463.21525885555,0.4166666666666667,19.0,1.0,18,0,original,18
all,23000000.0,44.7,2.0,7.0,24.0,"москва, ул. тайнинская, 9/5 (15 км до центра)",55.883146,37.683778,Медведково,18.0,20.1,евроремонт,монолитные,2002.0,2.85,не угловая,unknown,9/5,двор,unknown,нет,https://msk.etagi.com/realty/12187389/,raw,1.49,geo_recomputed,15.17,1.29,0.21,0.18,0.24,0.32,514541.3870246085,0.2916666666666667,24.0,0.0,9,0,original,9
all-maryino,17800000.0,44.3,2.0,5.0,9.0,"москва, ул. новочеркасский бульвар, 10 (13 км до центра)",55.645867,37.716207,Курьяново,12.0,6.0,unknown,панельные,1980.0,2.64,не угловая,пассажирский,10,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12545899/,raw,1.01,geo_recomputed,13.4,5.13,0.31,0.09,0.13,0.09,401805.86907449213,0.5555555555555556,46.0,1.0,17,0,original,17
studio,11300000.0,25.0,0.0,4.0,26.0,"москва, ул. тагильская",55.817043,37.750937,Бульвар Рокоссовского,10.0,9.0,современный ремонт,монолитные,2026.0,2.5,не угловая,"пассажирский, грузовой",,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/10564409/,raw,0.87,geo_recomputed,11.12,4.3,0.4,0.14,0.64,0.23,452000.0,0.1538461538461538,0.0,1.0,11,0,original,11
4k,160000000.0,255.0,4.0,4.0,5.0,"москва, ул. большая бронная, 27/4 (1 км до центра)",55.764141,37.602579,Тверская,2.0,6.9,ремонт по дизайн-проекту,панельные,2002.0,4.5,угловая,unknown,27/4,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/9996885/,raw,0.16,geo_recomputed,1.56,14.27,0.14,0.23,0.14,0.05,627450.9803921569,0.8,24.0,1.0,1,0,original,1
all,76800000.0,77.2,2.0,9.0,15.0,"москва, ул. ленинский проспект, 38",55.704641,37.571543,Ленинский проспект,11.0,9.0,ремонт по дизайн-проекту,монолитно-каркасные,2002.0,2.64,не угловая,unknown,38,двор,подземный паркинг,есть,https://msk.etagi.com/realty/10541542/,raw,0.88,geo_recomputed,5.96,9.89,0.3,0.18,0.62,0.06,994818.6528497408,0.6,24.0,1.0,10,0,original,10
all-khoroshevo-mnevniki,29700000.0,44.7,1.0,9.0,21.0,"20, улица нижние мнёвники, терехово, район хорошёво-мнёвники, москва, центральный федеральный округ, 123308, россия",55.749927,37.457996,Терехово,3.0,17.0,без отделки,панельные,2002.0,2.68,не угловая,unknown,5,детская площадка,unknown,нет,https://msk.etagi.com/realty/11749020/,geo,0.23,geo_recomputed,9.87,5.46,0.12,1.45,1.86,1.55,664429.5302013422,0.4285714285714285,24.0,1.0,16,0,original,16
all,13000000.0,26.1,0.0,5.0,24.0,"москва, ул. тагильская, 6/5 (10 км до центра)",55.813551,37.753649,Бульвар Рокоссовского,13.0,10.0,требует ремонта / частичный ремонт,монолитные,2002.0,2.68,не угловая,unknown,6/5,двор,"подземный паркинг, наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/11902321/,raw,1.12,geo_recomputed,11.0,4.47,0.64,0.29,0.75,0.36,498084.29118773947,0.2083333333333333,24.0,1.0,11,0,original,11
all-preobrazhenskoe,17800000.0,35.2,0.0,20.0,20.0,"москва, ул. лермонтовская, 1",55.80355,37.713935,Преображенская площадь,10.0,10.0,черновая отделка,монолитно-заливные,2002.0,2.68,не угловая,unknown,1,двор,подземный паркинг,нет,https://msk.etagi.com/realty/12580198/,raw,0.8,geo_recomputed,8.39,6.98,0.26,0.37,0.19,0.31,505681.8181818181,1.0,24.0,1.0,7,0,original,7
2k,55000000.0,47.7,2.0,7.0,9.0,"москва, ул. шелепихинская набережная, 38к8",55.766866,37.499974,Хорошево,15.0,17.0,предчистовая отделка,монолитно-кирпичный,2025.0,2.68,не угловая,unknown,38к8,детская площадка,unknown,нет,https://msk.etagi.com/realty/10366797/,raw,1.24,geo_recomputed,7.42,8.18,0.47,0.61,0.79,0.76,1153039.8322851153,0.7777777777777778,1.0,1.0,16,0,original,16
all,15500000.0,35.7,2.0,1.0,9.0,"москва, ул. большая филёвская, 53к2",55.739215,37.46909,Пионерская,5.0,7.6,евроремонт,блочные,1965.0,2.5,не угловая,"пассажирский, грузовой",53к2,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12439404/,raw,0.38,geo_recomputed,9.28,5.8,0.54,0.09,0.51,0.19,434173.6694677871,0.1111111111111111,61.0,1.0,16,0,original,16
2k,27600000.0,55.5,2.0,10.0,17.0,"москва, ул. рублёвское шоссе, 93к2 (23 км до центра)",55.739934,37.42607,Молодежная,8.0,11.0,unknown,панельные,2011.0,2.6,не угловая,"пассажирский, грузовой",93к2,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12483570/,raw,0.67,geo_recomputed,11.94,3.22,0.35,0.14,0.32,0.22,497297.2972972973,0.5882352941176471,15.0,1.0,0,0,original,0
1k,17990000.0,32.5,1.0,4.0,9.0,"москва, ул. 2-я сокольническая, 1",55.785974,37.68076,Сокольники,4.0,6.7,косметический ремонт,панельные,1974.0,2.64,не угловая,пассажирский,1,двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12303188/,raw,0.37,geo_recomputed,5.54,9.82,0.28,0.22,0.46,0.15,553538.4615384615,0.4444444444444444,52.0,1.0,1,0,original,1
all-zyablikovo,18490000.0,48.66,2.0,10.0,12.0,"москва, ул. мусы джалиля, 15к1",55.625333,37.743633,Шипиловская,5.0,7.0,евроремонт,железобетонные панели,1977.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/12543265/,raw,0.41,geo_recomputed,16.23,2.29,0.08,0.13,0.94,0.12,379983.5593916975,0.8333333333333334,49.0,1.0,17,0,original,17
3k,55000000.0,98.0,3.0,18.0,29.0,"11к3, набережная марка шагала, даниловский район, москва, центральный федеральный округ, 115127, россия",55.687883,37.639195,ЗИЛ,15.0,22.3,без стен,монолитные,2002.0,3.1,не угловая,unknown,к7,двор,подземный паркинг,нет,https://msk.etagi.com/realty/10492982/,geo,1.23,geo_recomputed,7.3,11.86,0.73,0.17,1.27,0.87,561224.4897959183,0.6206896551724138,24.0,1.0,5,0,original,5
2k,35000000.0,65.0,2.0,34.0,49.0,"москва, ул. 2-я хуторская, вл34кс (6 км до центра)",55.806095,37.571147,Дмитровская,8.0,15.0,предчистовая отделка,монолитно-кирпичный,2025.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/9580937/,raw,0.7,geo_recomputed,6.61,10.55,0.31,0.18,0.32,0.04,538461.5384615385,0.6938775510204082,1.0,1.0,23,0,original,23
all,11600000.0,23.0,0.0,14.0,25.0,"москва, ул. люблинская, 72к3",55.666792,37.733069,Депо,11.0,5.0,косметический ремонт,монолитные,2002.0,2.5,не угловая,"пассажирский, грузовой",72к3,двор,"наземный паркинг, подземный паркинг, гостевой паркинг, парковка во дворе",нет,https://msk.etagi.com/realty/11908605/,raw,0.88,geo_recomputed,12.01,6.02,0.75,0.24,1.19,0.58,504347.82608695654,0.56,24.0,1.0,17,0,original,17
all-sokolniki,21900000.0,52.3,2.0,7.0,23.0,"красное&белое, 1, улица сокольнический вал, район сокольники, москва, центральный федеральный округ, 107113, россия",55.794188,37.652795,Рижская,11.0,15.0,unknown,панельные,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/12194451/,geo,0.89,geo_recomputed,5.22,10.33,1.03,0.23,0.57,0.4,418738.04971319315,0.3043478260869565,24.0,1.0,1,0,original,1
3k,49900000.0,87.4,3.0,19.0,32.0,"20 с18, дербеневская улица, даниловский район, москва, центральный федеральный округ, 115114, россия",55.72018,37.647343,Павелецкая,14.0,21.3,черновая отделка,монолитные,2026.0,3.3,не угловая,unknown,3,двор,"подземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/10822671/,geo,1.19,geo_recomputed,4.08,11.73,0.15,0.12,0.46,0.67,570938.2151029748,0.59375,0.0,1.0,20,0,original,20
all,52380000.0,94.0,3.0,7.0,31.0,"москва, ул. василия ланового, 5",55.694216,37.477552,Мичуринский проспект,9.0,9.0,черновая отделка,"кирпичные, монолитно-каркасные",2024.0,2.68,не угловая,unknown,5,детская площадка,unknown,нет,https://msk.etagi.com/realty/12147600/,raw,0.76,geo_recomputed,10.78,4.0,0.72,0.84,0.42,0.66,557234.0425531915,0.2258064516129032,2.0,1.0,0,0,original,0
2k,21500000.0,60.7,2.0,18.0,24.0,"ozon, 6 к1, саларьевская улица, жк «саларьево парк», район коммунарка, москва, центральный федеральный округ, 142784, россия",55.613026,37.413295,Саларьево,15.0,22.6,евроремонт,панельные,2025.0,2.72,не угловая,unknown,68.4,двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12305040/,geo,1.27,geo_recomputed,20.01,4.01,0.13,0.15,0.49,1.3,354200.98846787476,0.75,1.0,1.0,22,0,original,22
2k,35000000.0,57.49,2.0,17.0,22.0,"москва, ул. душинская, 16",55.745666,37.705005,Москва Товарная,12.0,15.9,unknown,монолитные,2018.0,2.64,не угловая,"пассажирский, грузовой, пассажирский и грузовой",16,двор,"наземный паркинг, подземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/11833661/,raw,1.01,geo_recomputed,5.64,8.58,0.07,0.54,0.54,0.24,608801.5307009915,0.7727272727272727,8.0,1.0,18,0,original,18
